Budget_MB,Extend_Cost_Mean,Extend_Cost_Std,Extend_Time_Mean,Extend_Time_Std,Extend(Global)_Cost_Mean,Extend(Global)_Cost_Std,Extend(Global)_Time_Mean,Extend(Global)_Time_Std,MS-SA (Ours)_Cost_Mean,MS-SA (Ours)_Cost_Std,MS-SA (Ours)_Time_Mean,MS-SA (Ours)_Time_Std
500,69.92,8.25,1.8200,0.1349,67.83,7.34,27.7767,2.7839,67.84,8.50,1.8667,0.0618
1000,55.51,10.31,3.5767,0.3591,55.13,9.67,78.8367,11.8833,55.17,9.81,2.9200,0.3494
1500,48.97,7.87,3.3967,0.1652,53.29,10.47,79.0600,12.7266,53.17,10.63,2.1033,0.5725
2000,48.97,7.87,1.8733,0.1746,53.29,10.47,72.3267,8.6620,53.17,10.63,1.3633,0.1370
3000,48.97,7.87,1.7100,0.0712,53.29,10.47,72.4500,9.2011,53.17,10.63,1.3200,0.0779
5000,48.97,7.87,1.7633,0.1674,53.29,10.47,71.6700,8.6144,53.17,10.63,1.3900,0.1337
7000,48.97,7.87,1.7233,0.0967,53.29,10.47,71.8400,8.8317,53.17,10.63,1.4667,0.1826
10000,48.97,7.87,1.7167,0.0806,53.29,10.47,71.5267,8.3334,53.17,10.63,1.3900,0.1105
