budget,Extend,Extend_global,Extend_partition_sa
500,0.3300,1.2300,0.9500
1000,0.0000,0.6800,0.2000
1500,0.0100,13.9600,0.2400
2000,1.5900,1.8100,0.3600
3000,0.1300,8.4600,0.6300
5000,2.3200,32.0500,1.6200
7000,3.8000,56.2400,2.3900
10000,4.4000,89.7500,2.8100
