Budget_MB,Extend_Cost_Mean,Extend_Cost_Std,Extend_Time_Mean,Extend_Time_Std,Extend(Global)_Cost_Mean,Extend(Global)_Cost_Std,Extend(Global)_Time_Mean,Extend(Global)_Time_Std,MS-SA (Ours)_Cost_Mean,MS-SA (Ours)_Cost_Std,MS-SA (Ours)_Time_Mean,MS-SA (Ours)_Time_Std
500,100.00,0.00,0.3760,0.1576,91.97,0.91,5.5080,6.0371,91.97,0.80,1.4540,0.1752
1000,100.00,0.00,0.0320,0.0040,80.87,8.39,11.5840,9.1212,80.94,8.41,0.5800,0.2787
1500,100.00,0.00,0.0340,0.0049,68.63,5.33,4.7480,5.1387,68.68,5.45,0.2280,0.0598
2000,70.58,7.44,0.9740,0.0546,66.27,4.74,2.8340,2.0705,64.63,5.15,0.6340,0.2926
3000,69.51,6.30,0.2320,0.2641,56.04,4.48,3.2740,2.3413,60.20,4.12,1.6300,0.1792
5000,47.56,6.05,2.2580,0.3845,43.02,6.29,5.8720,2.1117,49.89,6.83,2.7680,1.0053
7000,39.91,4.94,2.5700,0.8996,34.28,5.88,17.8560,10.3050,41.79,0.71,2.2580,0.6233
10000,30.45,7.10,6.6480,0.8341,28.96,7.23,41.9680,21.0641,30.90,5.39,3.0300,0.8930
