Budget_MB,Extend_Cost_Mean,Extend_Cost_Std,Extend_Time_Mean,Extend_Time_Std,Extend(Global)_Cost_Mean,Extend(Global)_Cost_Std,Extend(Global)_Time_Mean,Extend(Global)_Time_Std,MS-SA (Ours)_Cost_Mean,MS-SA (Ours)_Cost_Std,MS-SA (Ours)_Time_Mean,MS-SA (Ours)_Time_Std
500,100.00,0.00,0.3067,0.0236,91.42,0.35,4.1733,2.3783,91.44,0.35,1.5067,0.0618
1000,100.00,0.00,0.0267,0.0047,76.10,7.68,6.0133,7.9031,76.05,7.61,0.5067,0.3565
1500,100.00,0.00,0.0233,0.0047,66.11,5.44,6.7500,6.5649,66.01,5.50,0.2067,0.0330
2000,66.32,6.40,0.9233,0.0793,64.05,4.13,1.9467,1.7562,62.32,4.67,0.6600,0.1558
3000,66.32,6.40,0.0967,0.0047,58.61,4.50,1.6367,0.5370,57.91,3.58,1.7200,0.2449
5000,47.10,5.40,2.2833,0.4156,47.34,6.28,5.6933,3.3746,51.87,1.24,3.2267,1.8157
7000,41.00,4.82,2.3767,1.0464,36.81,5.16,26.0067,11.1127,41.94,0.98,2.7433,0.4784
10000,33.95,5.41,6.8233,0.7528,33.25,3.87,44.6967,20.8486,36.36,1.97,3.4967,0.8933
