variant,variant_slug,sa_variant,budget_mb,seed,final_cost_proportion,runtime_seconds,result_path
w/o GapFilling,wo_gapfilling,w_o_gapfilling,2000,2,69.196000,0.707000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b2000_s2_timetamps_1773306220/comparison_results.json
Full,full,full,2000,3,68.706000,1.277000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b2000_s3_timetamps_1773306735/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,2000,3,70.590000,0.663000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b2000_s3_timetamps_1773307260/comparison_results.json
Full,full,full,3000,1,63.357000,3.820000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b3000_s1_timetamps_1773307783/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,3000,1,66.069000,1.364000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b3000_s1_timetamps_1773308322/comparison_results.json
Full,full,full,3000,2,62.758000,3.516000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b3000_s2_timetamps_1773308853/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,3000,2,65.136000,1.602000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b3000_s2_timetamps_1773309386/comparison_results.json
Full,full,full,3000,3,63.321000,3.400000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b3000_s3_timetamps_1773309907/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,3000,3,66.060000,1.370000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b3000_s3_timetamps_1773310455/comparison_results.json
Full,full,full,5000,1,53.245000,5.901000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b5000_s1_timetamps_1773310981/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,5000,1,59.655000,2.583000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b5000_s1_timetamps_1773311556/comparison_results.json
Full,full,full,5000,2,53.205000,6.151000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b5000_s2_timetamps_1773312109/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,5000,2,59.521000,4.201000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b5000_s2_timetamps_1773312716/comparison_results.json
Full,full,full,5000,3,50.672000,5.523000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b5000_s3_timetamps_1773313318/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,5000,3,56.552000,3.901000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b5000_s3_timetamps_1773313898/comparison_results.json
Full,full,full,7000,1,42.319000,6.589000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b7000_s1_timetamps_1773314437/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,7000,1,56.658000,4.545000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b7000_s1_timetamps_1773315005/comparison_results.json
Full,full,full,7000,2,44.153000,7.068000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b7000_s2_timetamps_1773315551/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,7000,2,57.021000,4.604000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b7000_s2_timetamps_1773316130/comparison_results.json
Full,full,full,7000,3,41.611000,7.297000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b7000_s3_timetamps_1773316709/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,7000,3,53.007000,4.647000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b7000_s3_timetamps_1773317302/comparison_results.json
Full,full,full,10000,1,32.910000,9.863000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b10000_s1_timetamps_1773317869/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,10000,1,55.340000,5.264000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b10000_s1_timetamps_1773318500/comparison_results.json
Full,full,full,10000,2,31.711000,9.670000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b10000_s2_timetamps_1773319072/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,10000,2,51.863000,5.605000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b10000_s2_timetamps_1773319709/comparison_results.json
Full,full,full,10000,3,31.277000,9.528000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_full_b10000_s3_timetamps_1773320289/comparison_results.json
w/o GapFilling,wo_gapfilling,w_o_gapfilling,10000,3,50.244000,5.099000,/home/zzzxh/projects/block_based_index_recommendation_my/free-origin/index/rl_index_selection/experiment_results/ID_TPCHskew_Test_Experiment_ablation_wo_gapfilling_b10000_s3_timetamps_1773320892/comparison_results.json
